Model name,Target backend,Scale factor type,Weight bit width,Act bit width,Bias bit width,Scaling per output channel,Act quant type,Bias corr,Graph eq iterations,Graph eq merge bias,Gptq,Gptq act order,Act quant percentile,Top 1% floating point accuracy,Top 1% quant accuracy,Floating point accuracy - quant accuracy,Quant accuracy / floating point accuracy,Calibration size,Calibration batch size,Torch version,Brevitas version
mobilenet_v2,generic,float32,4,8,int32,False,symmetric,True,20,True,True,False,99.9,71.898,47.896,-24.002,0.666,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,False,symmetric,True,20,True,True,False,99.99,71.898,44.436,-27.462,0.618,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,False,symmetric,True,20,True,True,False,99.999,71.898,44.972,-26.926,0.625,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,False,symmetric,True,20,True,True,True,99.9,71.898,0.106,-71.792,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,False,symmetric,True,20,True,True,True,99.99,71.898,0.06,-71.838,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,False,symmetric,True,20,True,True,True,99.999,71.898,0.102,-71.796,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,True,asymmetric,True,20,True,False,False,99.9,71.898,35.414,-36.484,0.493,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,True,asymmetric,True,20,True,False,False,99.99,71.898,37.144,-34.754,0.517,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,True,asymmetric,True,20,True,False,False,99.999,71.898,36.252,-35.646,0.504,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,True,asymmetric,True,20,True,True,False,99.9,71.898,35.364,-36.534,0.492,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,True,asymmetric,True,20,True,True,False,99.99,71.898,39.134,-32.764,0.544,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,True,asymmetric,True,20,True,True,False,99.999,71.898,39.24,-32.658,0.546,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,True,asymmetric,True,20,True,True,True,99.9,71.898,0.096,-71.802,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,True,asymmetric,True,20,True,True,True,99.99,71.898,0.086,-71.812,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,True,asymmetric,True,20,True,True,True,99.999,71.898,0.1,-71.798,0.001,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,True,symmetric,True,20,True,False,False,99.9,71.898,32.18,-39.718,0.448,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,True,symmetric,True,20,True,False,False,99.99,71.898,40.464,-31.434,0.563,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
mobilenet_v2,generic,float32,4,8,int32,True,symmetric,True,20,True,False,False,99.999,71.898,38.022,-33.876,0.529,1000,64,1.13.1,0.9.2.dev13+g96ddb35e
